cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
沈阳,4,28,0,24,0
鞍山,4,4,0,0,0
锦州,3,12,0,9,0
阜新,3,8,0,5,0
铁岭,3,7,0,4,0
朝阳,3,6,0,3,0
盘锦,2,11,0,9,0
丹东,1,7,0,6,0
本溪,0,3,0,3,0
辽阳,0,3,0,3,0
营口,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
长春,13,45,0,32,0
辽源,6,7,0,1,0
四平市,5,15,0,9,1
通化,4,6,0,2,0
公主岭,3,6,0,3,0
白城,1,1,0,0,0
吉林市,0,5,0,5,0
延边,0,5,0,5,0
松原,0,2,0,2,0
梅河口,0,1,0,1,0
地区,24,30,0,5,1
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
吴忠,8,28,0,20,0
银川,4,33,0,29,0
固原,1,5,0,4,0
中卫,0,3,0,3,0
宁东,0,1,0,1,0
石嘴山,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
兰州,3,36,0,31,2
平凉,3,9,0,6,0
定西,1,9,0,8,0
白银,1,4,0,3,0
庆阳,1,3,0,2,0
天水,0,12,0,12,0
甘南,0,8,0,8,0
陇南,0,4,0,4,0
临夏,0,3,0,3,0
张掖,0,2,0,2,0
金昌,0,1,0,1,0
澳门,4,10,0,6,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
西宁,0,15,0,15,0
海北州,0,3,0,3,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
拉萨,0,1,0,1,0
天津,45,135,0,87,3
上海,71,335,0,261,3
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
韩国,807,833,0,18,8
钻石公主号邮轮,688,691,0,0,3
意大利,221,229,0,1,7
日本,136,159,0,22,1
美国,50,53,0,3,0
伊朗,49,61,0,0,12
新加坡,38,89,0,51,0
泰国,14,35,0,21,0
澳大利亚,12,22,0,10,0
阿联酋,9,13,0,4,0
法国,7,12,0,4,1
加拿大,7,10,0,3,0
英国,5,13,0,8,0
马来西亚,4,22,0,18,0
越南,2,16,0,14,0
德国,2,16,0,14,0
以色列,2,2,0,0,0
阿曼,2,2,0,0,0
瑞典,1,1,0,0,0
菲律宾,1,3,0,1,1
埃及,1,1,0,0,0
黎巴嫩,1,1,0,0,0
伊拉克,1,1,0,0,0
科威特,1,1,0,0,0
巴林,1,1,0,0,0
阿富汗,1,1,0,0,0
尼泊尔,0,1,0,1,0
柬埔寨,0,1,0,1,0
斯里兰卡,0,1,0,1,0
芬兰,0,1,0,1,0
印度,0,3,0,3,0
俄罗斯,0,2,0,2,0
西班牙,0,2,0,2,0
比利时,0,1,0,1,0
