,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
182,万宁,中国海南,Wanning,Hainan China,18.839886,110.292505,13,0,13,0
183,海口,中国海南,Haikou,Hainan China,19.942909,110.507269,39,0,38,1
184,儋州,中国海南,Danzhou,Hainan China,19.571153,109.413973,15,1,13,1
185,临高,中国海南,Lingao,Hainan China,19.805922,109.724102,6,0,6,0
186,陵水,中国海南,Lingshui,Hainan China,18.506,110.0375,4,0,4,0
187,澄迈,中国海南,Chengmai,Hainan China,19.7,110,9,1,8,0
188,琼中,中国海南,Qiongzhong,Hainan China,19.04,109.82,1,0,1,0
189,东方,中国海南,Dongfang,Hainan China,19.09,108.66,3,1,2,0
190,琼海,中国海南,Qionghai,Hainan China,19.256,110.468,6,1,5,0
191,定安,中国海南,Ding An,Hainan China,19.68,110.36,3,1,2,0
192,昌江,中国海南,Changjiang,Hainan China,19.298,109.04,7,0,7,0
193,乐东,中国海南,Ledong,Hainan China,18.75,109.168,2,0,2,0
194,文昌,中国海南,Wenchang,Hainan China,19.539,110.787,3,0,3,0
195,保亭,中国海南,Baoting,Hainan China,18.64104,109.694892,3,0,3,0
196,福州,中国福建,Fuzhou,Fujian China,26.221752,119.314923,72,1,71,0
197,厦门,中国福建,Xiamen,Fujian China,24.675485,118.280803,35,0,35,0
198,泉州,中国福建,Quanzhou,Fujian China,25.173479,118.819017,47,0,47,0
199,漳州,中国福建,Zhangzhou,Fujian China,24.575089,117.633366,20,0,20,0
200,宁德,中国福建,Ningde,Fujian China,26.763865,119.454559,26,0,26,0
201,三明,中国福建,Sanming,Fujian China,26.173967,117.516896,14,0,14,0
202,莆田,中国福建,Putian,Fujian China,25.41,119,56,0,56,0
203,南平,中国福建,Nanping,Fujian China,26.63,118.18,20,0,20,0
204,龙岩,中国福建,Longyan,Fujian China,25.1,117,6,0,6,0
205,常州,中国江苏,Changzhou,Jiangsu China,31.672903,119.943432,51,0,51,0
206,南京,中国江苏,Nanjing,Jiangsu China,32.40064,118.848166,93,0,93,0
207,苏州,中国江苏,Suzhou,Jiangsu China,31.332306,120.630878,87,0,87,0
208,连云港,中国江苏,Lianyungang,Jiangsu China,34.51416,119.162196,48,0,48,0
209,无锡,中国江苏,Wuxi,Jiangsu China,31.466579,120.248502,55,0,54,1
210,南通,中国江苏,Nantong,Jiangsu China,32.071256,120.823875,40,0,40,0
211,扬州,中国江苏,Yangzhou,Jiangsu China,32.408505,119.427778,23,0,23,0
212,盐城,中国江苏,Yancheng,Jiangsu China,33.265898,119.968501,27,0,27,0
213,宿迁,中国江苏,Suqian,Jiangsu China,34.00953,118.343693,13,0,13,0
214,镇江,中国江苏,Zhenjiang,Jiangsu China,32.198,119.46,12,0,12,0
215,淮安,中国江苏,Huai An,Jiangsu China,33.589,119.03,66,0,66,0
216,泰州,中国江苏,Taizhou,Jiangsu China,32.45,119.91,37,0,37,0
217,徐州,中国江苏,Xuzhou,Jiangsu China,34.27,117.186999,79,0,79,0
218,沈阳,中国辽宁,Shenyang,Liaoning China,41.843551,123.242847,28,0,26,2
219,大连,中国辽宁,Dalian,Liaoning China,38.92,121.62,19,0,17,2
220,朝阳,中国辽宁,Chaoyang,Liaoning China,41.55,120.4,6,0,5,1
221,铁岭,中国辽宁,Tieling,Liaoning China,42.222765,123.914529,7,0,7,0
222,葫芦岛,中国辽宁,Huludao,Liaoning China,40.75,120.84,12,1,9,2
223,本溪,中国辽宁,Benxi,Liaoning China,41.19567,124.158564,3,0,3,0
224,盘锦,中国辽宁,Panjin,Liaoning China,41.112,122.06,11,0,11,0
225,营口,中国辽宁,Yingkou,Liaoning China,40.55,122.248,1,0,1,0
226,丹东,中国辽宁,Dandong,Liaoning China,40.008,124.3545,11,0,7,4
227,辽阳,中国辽宁,Liaoyang,Liaoning China,41.26,123.164,3,0,3,0
228,鞍山,中国辽宁,Anshan,Liaoning China,41.1,122.99,4,0,4,0
229,锦州,中国辽宁,Jinzhou,Liaoning China,41.0959,121.11,12,0,12,0
230,阜新,中国辽宁,Fuxin,Liaoning China,42.015173,121.645287,8,0,8,0
231,西安,中国陕西,Xi An,Shaanxi China,34.066899,108.874256,120,2,110,8
232,咸阳,中国陕西,Xianyang,Shaanxi China,34.423853,108.817312,17,0,16,1
233,安康,中国陕西,Ankang,Shaanxi China,32.814464,108.896243,26,0,26,0
234,铜川,中国陕西,Tongchuan,Shaanxi China,35.032,108.8355,8,0,8,0
235,延安,中国陕西,Yan An,Shaanxi China,36.575992,109.648602,8,0,8,0
236,商洛,中国陕西,Shangluo,Shaanxi China,33.895485,109.873271,7,0,7,0
237,渭南,中国陕西,Weinan,Shaanxi China,34.5,109.451,15,0,14,1
238,汉中,中国陕西,Hanzhong,Shaanxi China,33.1,107,26,0,25,1
239,宝鸡,中国陕西,Baoji,Shaanxi China,34.39,107.23,13,0,13,0
240,韩城,中国陕西,Hancheng,Shaanxi China,35.474,110.447,1,0,1,0
241,榆林,中国陕西,Yulin,Shaanxi China,38.23,109.75,3,0,3,0
242,杨凌,中国陕西,Yangling,Shaanxi China,34.272,108.082123,1,0,1,0
243,昆明,中国云南,Kunming,Yunnan China,26.139329,103.078562,53,0,53,0
244,丽江,中国云南,Lijiang,Yunnan China,26.8593,100.328596,7,0,7,0
245,西双版纳,中国云南,Xishuangbanna,Yunnan China,22.009433,100.803038,15,1,14,0
246,曲靖,中国云南,Qujing,Yunnan China,25.360057,103.913326,13,0,12,1
247,玉溪,中国云南,Yuxi,Yunnan China,24.369854,102.499895,14,1,13,0
248,红河,中国云南,Honghe,Yunnan China,23.250955,102.243348,9,0,9,0
249,大理,中国云南,Dali,Yunnan China,25.693967,100.219209,13,0,13,0
250,保山,中国云南,Baoshan,Yunnan China,25.16,99.176,9,0,9,0
251,德宏,中国云南,Dehong,Yunnan China,24.43,98.596,5,0,4,1
252,昭通,中国云南,Zhaotong,Yunnan China,27.32,103.72,25,0,25,0
253,普洱,中国云南,Pu Er,Yunnan China,22.7,100.96,4,0,4,0
254,临沧,中国云南,Lincang,Yunnan China,23.87,100.1,1,0,1,0
255,文山,中国云南,Wenshan,Yunnan China,23.394,104.226,2,0,2,0
256,楚雄,中国云南,Chuxiong,Yunnan China,25.025884,101.548734,4,0,4,0
257,天津,中国天津,Tianjin,Tianjin China,39.13,117.2,136,3,132,1
258,哈尔滨,中国黑龙江,Harbin,Heilongjiang China,45.995674,126.61077,198,4,186,8
259,牡丹江,中国黑龙江,Mudanjiang,Heilongjiang China,44.491714,129.584924,15,0,14,1
260,大庆,中国黑龙江,Daqing,Heilongjiang China,46.070051,124.699077,26,1,23,2
261,绥化,中国黑龙江,Suihua,Heilongjiang China,46.747537,126.957863,47,4,41,2
262,齐齐哈尔,中国黑龙江,Qiqihar,Heilongjiang China,47.28,123.94,43,1,40,2
263,佳木斯,中国黑龙江,Jiamusi,Heilongjiang China,46.8,130.37,15,0,15,0
264,双鸭山,中国黑龙江,Shuangyashan,Heilongjiang China,46.642,131.152,52,3,47,2
265,七台河,中国黑龙江,Qitaihe,Heilongjiang China,45.6,131,17,0,16,1
266,鸡西,中国黑龙江,Jixi,Heilongjiang China,45.3,130.96,46,0,45,1
267,鹤岗,中国黑龙江,Hegang,Heilongjiang China,47.335,130.294,5,0,4,1
268,大兴安岭,中国黑龙江,Greater Hinggan,Heilongjiang China,50.41,124.122,3,0,2,1
269,黑河,中国黑龙江,Heihe,Heilongjiang China,50.235,127.51,14,0,13,1
270,晋中,中国山西,Jinzhong,Shanxi China,37.650825,112.843737,37,0,37,0
271,太原,中国山西,Taiyuan,Shanxi China,37.748675,112.481587,20,0,20,0
272,运城,中国山西,Yuncheng,Shanxi China,35.063677,110.961931,19,0,19,0
273,阳泉,中国山西,Yangquan,Shanxi China,37.911504,113.568086,4,0,4,0
274,大同,中国山西,Datong,Shanxi China,40,113.3,12,0,12,0
275,长治,中国山西,Changzhi,Shanxi China,36.02468,113.086194,8,0,8,0
276,临汾,中国山西,Linfen,Shanxi China,36.1,111.52,2,0,2,0
277,朔州,中国山西,Shuozhou,Shanxi China,39.35,112.43,8,0,8,0
278,吕梁,中国山西,Lyuliang,Shanxi China,37.5,111.1,6,0,6,0
279,忻州,中国山西,Xinzhou,Shanxi China,38.4,112.732,7,0,7,0
280,晋城,中国山西,Jincheng,Shanxi China,35.498,112.857,10,0,10,0
281,石家庄,中国河北,Shijiazhuang,Hebei China,38.014621,114.586383,29,0,29,0
282,沧州,中国河北,Cangzhou,Hebei China,38.314446,116.844854,48,3,45,0
283,保定,中国河北,Baoding,Hebei China,38.821877,115.484784,32,0,32,0
284,承德,中国河北,Chengde,Hebei China,40.973242,118.125718,7,0,7,0
285,廊坊,中国河北,Langfang,Hebei China,39.47,116.7,30,0,30,0
286,邢台,中国河北,Xingtai,Hebei China,37.04,114.57,23,1,22,0
287,衡水,中国河北,Hengshui,Hebei China,37.73,115.699,8,0,8,0
288,唐山,中国河北,Tangshan,Hebei China,39.59,118.2,58,1,55,2
289,邯郸,中国河北,Handan,Hebei China,36.574,114.48,32,0,32,0
290,张家口,中国河北,Zhangjiakou,Hebei China,40.81,114.89,41,0,41,0
291,秦皇岛,中国河北,Qinhuangdao,Hebei China,39.95,119.59,10,1,9,0
292,锡林郭勒盟,中国内蒙古,Xilingol - Xilinhot,Inner Mongolia China,43.468238,114.415868,9,0,9,0
293,鄂尔多斯,中国内蒙古,Ordos,Inner Mongolia China,39.805586,109.764419,11,0,11,0
294,赤峰,中国内蒙古,Chifeng,Inner Mongolia China,42.268753,118.757106,9,0,9,0
295,呼伦贝尔,中国内蒙古,Hulun Buir,Inner Mongolia China,49.22,119.76,7,0,7,0
296,兴安盟,中国内蒙古,Ulahot,Inner Mongolia China,46.05,122.1,1,0,1,0
297,乌兰察布,中国内蒙古,Ulanqab,Inner Mongolia China,40.99,113.13,3,0,3,0
298,包头,中国内蒙古,Baotou,Inner Mongolia China,40.65,109.8,11,0,9,2
299,巴彦淖尔,中国内蒙古,Bayannur,Inner Mongolia China,40.75,107.38,8,1,7,0
300,通辽,中国内蒙古,Tongliao,Inner Mongolia China,43.626,122.25,7,0,7,0
301,呼和浩特,中国内蒙古,Huhhot,Inner Mongolia China,40.83,111.69,7,0,6,1
302,乌海,中国内蒙古,Wuhai,Inner Mongolia China,39.639,106.779,2,0,2,0
303,香港,中国香港特别行政区,Hong Kong,Hong Kong SAR China,22.293586,114.186124,140,4,78,58
304,铜仁,中国贵州,Tongren,Guizhou China,27.674903,109.168558,10,0,10,0
305,贵阳,中国贵州,Guiyang,Guizhou China,26.496945,106.70098,36,1,34,1
306,黔南州,中国贵州,Qiannan,Guizhou China,26.254,107.522,17,0,17,0
307,黔西南州,中国贵州,Qianxinan,Guizhou China,25.1,104.9,4,0,4,0
308,六盘水,中国贵州,Liupanshui,Guizhou China,26.55,104.85,10,1,9,0
309,黔东南州,中国贵州,Qiandongnan,Guizhou China,26.56,108,10,0,10,0
310,遵义,中国贵州,Zunyi,Guizhou China,27.7478,106.91,32,0,32,0
311,毕节,中国贵州,Bijie,Guizhou China,27.31,105.29,23,0,23,0
312,安顺,中国贵州,Anshun,Guizhou China,26.25,105.93,4,0,4,0
313,吉林市,中国吉林,Jilin,Jilin China,43.87,126.57,5,0,5,0
314,长春,中国吉林,Changchun,Jilin China,43.531747,125.712822,45,0,45,0
