city,province_cn,city_cn,case,death,cure,lat,lon,province
Liaoyang,辽宁,辽阳,3,0,0,41.26,123.164,Liaoning
Anshan,辽宁,鞍山,3,0,0,41.1,122.99,Liaoning
Jinzhou,辽宁,锦州,10,0,1,41.0959,121.11,Liaoning
Fuxin,辽宁,阜新,7,0,0,42.015173,121.645287,Liaoning
Xi An,陕西,西安,88,0,10,34.066899,108.874256,Shaanxi
Xianyang,陕西,咸阳,16,0,2,34.423853,108.817312,Shaanxi
Ankang,陕西,安康,21,0,1,32.814464,108.896243,Shaanxi
Tongchuan,陕西,铜川,8,0,4,35.032,108.8355,Shaanxi
Yan An,陕西,延安,8,0,0,36.575992,109.648602,Shaanxi
Shangluo,陕西,商洛,7,0,1,33.895485,109.873271,Shaanxi
Weinan,陕西,渭南,9,0,0,34.5,109.451,Shaanxi
Hanzhong,陕西,汉中,21,0,0,33.1,107,Shaanxi
Baoji,陕西,宝鸡,12,0,2,34.39,107.23,Shaanxi
Hancheng,陕西,韩城,1,0,0,35.474,110.447,Shaanxi
Yulin,陕西,榆林,3,0,0,38.23,109.75,Shaanxi
Yangling,陕西,杨凌,1,0,0,34.272,108.082123,Shaanxi
Kunming,云南,昆明,41,0,6,26.139329,103.078562,Yunnan
Lijiang,云南,丽江,7,0,1,26.8593,100.328596,Yunnan
Xishuangbanna,云南,西双版纳,15,0,2,22.009433,100.803038,Yunnan
Qujing,云南,曲靖,11,0,1,25.360057,103.913326,Yunnan
Yuxi,云南,玉溪,14,0,2,24.369854,102.499895,Yunnan
Honghe,云南,红河,5,0,1,23.250955,102.243348,Yunnan
Dali,云南,大理,11,0,2,25.693967,100.219209,Yunnan
Baoshan,云南,保山,9,0,0,25.16,99.176,Yunnan
Dehong,云南,德宏,5,0,0,24.43,98.596,Yunnan
Zhaotong,云南,昭通,12,0,1,27.32,103.72,Yunnan
Pu Er,云南,普洱,4,0,0,22.7,100.96,Yunnan
Lincang,云南,临沧,1,0,0,23.87,100.1,Yunnan
Wenshan,云南,文山,1,0,0,23.394,104.226,Yunnan
Chuxiong,云南,楚雄,4,0,0,25.025884,101.548734,Yunnan
Tianjin,天津,天津,88,1,4,39.13,117.2,Tianjin
Harbin,黑龙江,哈尔滨,114,0,9,45.995674,126.61077,Heilongjiang
Mudanjiang,黑龙江,牡丹江,12,0,1,44.491714,129.584924,Heilongjiang
Daqing,黑龙江,大庆,13,1,0,46.070051,124.699077,Heilongjiang
Suihua,黑龙江,绥化,35,3,1,46.747537,126.957863,Heilongjiang
Qiqihar,黑龙江,齐齐哈尔,27,0,0,47.28,123.94,Heilongjiang
Jiamusi,黑龙江,佳木斯,13,0,1,46.8,130.37,Heilongjiang
Shuangyashan,黑龙江,双鸭山,38,2,1,46.642,131.152,Heilongjiang
Qitaihe,黑龙江,七台河,13,0,0,45.6,131,Heilongjiang
Jixi,黑龙江,鸡西,34,0,0,45.3,130.96,Heilongjiang
Hegang,黑龙江,鹤岗,4,0,0,47.335,130.294,Heilongjiang
Greater Hinggan,黑龙江,大兴安岭,2,0,0,50.41,124.122,Heilongjiang
Heihe,黑龙江,黑河,2,0,0,50.235,127.51,Heilongjiang
Jinzhong,山西,晋中,32,0,6,37.650825,112.843737,Shanxi
Taiyuan,山西,太原,15,0,1,37.748675,112.481587,Shanxi
Yuncheng,山西,运城,18,0,4,35.063677,110.961931,Shanxi
Yangquan,山西,阳泉,4,0,0,37.911504,113.568086,Shanxi
Datong,山西,大同,11,0,3,40,113.3,Shanxi
Changzhi,山西,长治,7,0,0,36.02468,113.086194,Shanxi
Linfen,山西,临汾,2,0,1,36.1,111.52,Shanxi
Shuozhou,山西,朔州,6,0,1,39.35,112.43,Shanxi
Lyuliang,山西,吕梁,6,0,3,37.5,111.1,Shanxi
Xinzhou,山西,忻州,6,0,0,38.4,112.732,Shanxi
Jincheng,山西,晋城,8,0,2,35.498,112.857,Shanxi
Shijiazhuang,河北,石家庄,24,0,3,38.014621,114.586383,Hebei
Cangzhou,河北,沧州,28,1,6,38.314446,116.844854,Hebei
Baoding,河北,保定,21,0,8,38.821877,115.484784,Hebei
